"GAUL_CODE","year","hiv_test","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2","shapefile","OBJECTID","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3","Shape_Leng","Shape_Area","NAME","COUNTRY_ID","ADMN_LEVEL","PARENT_ID","Area"
"12",2004,0.22608196719598,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2009,0.232282869379383,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2010,0.227849363905715,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2011,0.22757937195785,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2008,0.235299500922035,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2000,0.183992354268544,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2001,0.196176142040907,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2002,0.201100666876718,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2003,0.217234522449333,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2015,0.238867036421088,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2016,0.232219370327334,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2017,0.232840672257199,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2013,0.234805310607126,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2014,0.246240414437449,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2012,0.23784720520688,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2017,0.176786991732177,"211","ZAF","South Africa","2","Free State","13","Xhariep","ZA.FS.XH","0","DC16","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2015,0.169008752975085,"211","ZAF","South Africa","2","Free State","13","Xhariep","ZA.FS.XH","0","DC16","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2016,0.167882144588704,"211","ZAF","South Africa","2","Free State","13","Xhariep","ZA.FS.XH","0","DC16","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2006,0.143507920083035,"211","ZAF","South Africa","2","Free State","13","Xhariep","ZA.FS.XH","0","DC16","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2003,0.142423669935794,"211","ZAF","South Africa","2","Free State","13","Xhariep","ZA.FS.XH","0","DC16","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2004,0.136469387695809,"211","ZAF","South Africa","2","Free State","13","Xhariep","ZA.FS.XH","0","DC16","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
